,Price,equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,ALI_F,SMA_5,PPO_12_26,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10
2024-05-15,8840.0,2741.6700439453125,1362.550048828125,78.62999725341797,2.4159998893737793,2.496799945831299,783.0,2533.5,8824.0,0.3237087909131371,56.28740528022,0.9708737864077666,40.0,0.9002302226964645
2024-05-16,8870.0,2753.0,1353.5999755859375,79.2300033569336,2.494999885559082,2.5378000736236572,786.0,2529.0,8840.0,0.3773395606920945,58.161313447533466,1.371428571428579,32.142857142857146,1.2016708962378004
2024-05-17,8950.0,2724.6201171875,1346.0400390625,80.05999755859375,2.625999927520752,2.574199914932251,787.0,2533.5,8864.0,0.4873517259492795,62.74748909435725,2.5200458190148822,34.285714285714285,1.5339265448467287
2024-05-20,8900.0,2742.139892578125,1353.3900146484375,79.80000305175781,2.750999927520752,2.539900064468384,789.0,2557.5,8874.0,0.5224783354606582,58.43608754564664,1.5112631879098837,34.285714285714285,1.2122196242915848
2024-05-21,8880.0,2724.179931640625,1360.1600341796875,79.26000213623047,2.6710000038146973,2.509999990463257,791.0,2651.0,8888.0,0.5258695314470692,56.756200389124665,1.1389521640091216,35.357142857142854,0.6522286454925208
2024-05-22,8850.0,2723.4599609375,1363.4200439453125,77.56999969482422,2.8420000076293945,2.4677999019622803,789.0,2568.0,8890.0,0.4954071085192521,54.23751066868013,1.3745704467353903,37.142857142857146,0.045666095484492075
2024-05-23,8860.0,2721.81005859375,1365.81005859375,76.87000274658203,2.6570000648498535,2.469399929046631,789.0,2550.25,8888.0,0.4749086366792567,54.95509095530214,0.7963594994311762,36.42857142857143,0.11155722543716706
2024-05-24,8870.0,2687.60009765625,1367.6199951171875,77.72000122070312,2.5199999809265137,2.4842000007629395,789.0,2588.25,8872.0,0.4624388806977151,55.70312037118001,0.45300113250283935,34.464285714285715,0.44655293992351375
2024-05-27,8880.0,2722.989990234375,1365.7099609375,79.3025016784668,2.572499930858612,2.5028000473976135,790.5,2638.125,8868.0,0.45638922478816246,56.481394539004384,0.3389830508474523,34.285714285714285,0.8611827376748806
2024-05-28,8870.0,2722.85009765625,1360.9300537109375,79.83000183105469,2.5899999141693115,2.509000062942505,791.0,2654.75,8866.0,0.4374078453782705,55.432554976034076,0.6810442678774065,31.428571428571427,0.6343328606027256
2024-05-29,8860.0,2677.300048828125,1362.760009765625,79.2300033569336,2.493000030517578,2.464400053024292,779.0,2703.5,8868.0,0.40852898451256325,54.345744353084186,0.2262443438914019,27.857142857142858,0.16568219629113656
