,Price,equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,SMA_5,PPO_5_10,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10
2024-05-16,76.28,3122.40087890625,7.217700004577637,79.2300033569336,2.494999885559082,2.5378000736236572,786.0,75.20000000000002,0.34836814986876563,79.77550993128986,1.7971530249110357,0.17857142857142858,1.639503647444382
2024-05-17,75.8,3154.02587890625,7.2170000076293945,80.05999755859375,2.625999927520752,2.574199914932251,787.0,75.38,0.3693439813650923,68.89805905941546,1.2016021361815676,0.17000000000000068,1.3290841202091812
2024-05-20,75.51,3171.14501953125,7.222700119018555,79.80000305175781,2.750999927520752,2.539900064468384,789.0,75.49600000000001,0.30012166735075035,63.2838108488871,0.9491978609625695,0.19071428571428584,0.7630866663212181
2024-05-21,76.37,3157.966064453125,7.2316999435424805,79.26000213623047,2.6710000038146973,2.509999990463257,791.0,75.78200000000001,0.41628767029117875,70.86565727389095,1.9626168224299079,0.249761904761905,0.7803525564287561
2024-05-22,77.5,3158.5400390625,7.237599849700928,77.56999969482422,2.8420000076293945,2.4677999019622803,789.0,76.292,0.6783687087241987,77.45371097227897,3.347112948393116,0.3280952380952381,1.0346565517974078
2024-05-23,77.0,3116.386962890625,7.240300178527832,76.87000274658203,2.6570000648498535,2.469399929046631,789.0,76.436,0.679561006411512,69.91967717230987,2.8311965811965933,0.3614285714285716,0.7264484997393659
2024-05-24,76.45,3088.87109375,7.241499900817871,77.72000122070312,2.5199999809265137,2.4842000007629395,789.0,76.566,0.5299873506977346,62.69534064017109,2.0694259012016047,0.3935714285714279,0.21614079664840347
2024-05-27,75.6,3124.04296875,7.241499900817871,79.3025016784668,2.572499930858612,2.5028000473976135,790.5,76.58399999999999,0.24777610072981068,53.495926196213524,0.8941678900306727,0.4471428571428565,-0.33045242703866506
2024-05-28,74.92,3109.572021484375,7.241499900817871,79.83000183105469,2.5899999141693115,2.509000062942505,791.0,76.294,-0.05719767847830946,47.4921877389096,-0.02668801708032298,0.4892857142857139,-0.8421994342707677
2024-05-29,74.47,3111.01806640625,7.244999885559082,79.2300033569336,2.493000030517578,2.464400053024292,779.0,75.688,-0.3113701375990378,43.97500273183023,-0.6404269513008765,0.5135714285714285,-1.293168715932012
2024-05-30,76.17,3091.677978515625,7.2494001388549805,77.91000366210938,2.572000026702881,2.404599905014038,772.0,75.522,-0.09013210845769366,56.94678651004134,-0.1442055584688018,0.6335714285714279,-1.0419135387996121
